wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr
wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr
wr,wr,bfb,bfb,bfb,bfb,bfb,bfb;spt;pmii,bfb;spt;pmii,bfb,bfb,bfb,bfb,bfb,wr,wr
wr,wr,bfb,bfb;ge,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb;ge,bfb,bfb,wr,wr
wr,wr,bfb,bfb,bfb,bfb;ge,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb,wr,wr
wr,wr,bfb,bfb;ge,bfb,bfb,bfb;ge,bfb,bfb,bfb;ge,bfb,bfb;ge,bfb,bfb,wr,wr
wr,wr,bfb,bfb,bfb,bfb,bfb;ge,bfb,bfb,bfb;ge,bfb,bfb,bfb,bfb,wr,wr
wr,wr,bfb,bfb;ge,bfb,bfb;ge,bfb,bfb;ge,bfb,bfb;ge,bfb,bfb;ge,bfb,bfb,wr,wr
wr,wr,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb,bfb,wr,wr
wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr
wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr,wr
3;11
nd,ld,nd,cd
2;5,7.5;8,13;5,7.5;2
0
ki,pkse
